               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.024178,           0.0094138,           0.0018496,             0.99011,             0.91667,             0.93886,             0.59141,            0.022182,           0.0067436,            0.088315,            0.000208,            0.000208,            0.000208
                  82,            0.024127,           0.0095081,           0.0019276,             0.98935,             0.91667,             0.94192,             0.59366,            0.022121,           0.0066998,            0.087496,           0.0001981,           0.0001981,           0.0001981
                  83,              0.0242,            0.009496,           0.0018833,             0.97248,                 0.9,             0.91964,             0.59022,            0.022332,           0.0067575,            0.088488,           0.0001882,           0.0001882,           0.0001882
                  84,            0.023905,           0.0094117,           0.0016997,             0.99097,             0.91667,             0.93528,             0.59728,            0.022418,           0.0067403,            0.089983,           0.0001783,           0.0001783,           0.0001783
                  85,            0.024074,           0.0094728,           0.0020472,             0.97394,                 0.9,             0.91608,              0.5922,            0.022027,           0.0067061,            0.089832,           0.0001684,           0.0001684,           0.0001684
                  86,            0.024053,           0.0095407,            0.001774,              0.9735,                 0.9,             0.91766,             0.58886,            0.022076,           0.0066951,            0.090165,           0.0001585,           0.0001585,           0.0001585
                  87,            0.023843,           0.0093917,           0.0018117,             0.97429,                 0.9,             0.91974,              0.5836,            0.021789,           0.0066996,            0.089941,           0.0001486,           0.0001486,           0.0001486
                  88,            0.023944,           0.0096264,           0.0016668,             0.97423,                 0.9,             0.91951,             0.59559,             0.02195,            0.006725,            0.090265,           0.0001387,           0.0001387,           0.0001387
                  89,            0.023836,           0.0094327,           0.0016835,             0.97396,                 0.9,             0.92562,             0.59751,            0.022211,           0.0067097,            0.090927,           0.0001288,           0.0001288,           0.0001288
                  90,            0.023665,           0.0094436,           0.0019212,             0.97424,                 0.9,              0.9217,              0.5922,            0.022551,           0.0067035,            0.091571,           0.0001189,           0.0001189,           0.0001189
                  91,            0.023589,           0.0094014,            0.001802,             0.97451,                 0.9,             0.92032,             0.58671,            0.022573,            0.006707,            0.091637,            0.000109,            0.000109,            0.000109
                  92,             0.02356,             0.00936,           0.0018841,             0.99114,             0.91667,             0.94186,             0.59646,            0.022569,           0.0066928,             0.09147,            9.91e-05,            9.91e-05,            9.91e-05
                  93,             0.02378,           0.0093998,           0.0018106,             0.99145,             0.91667,             0.94186,              0.5992,            0.022523,           0.0066938,            0.091623,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.023767,           0.0094494,           0.0019612,             0.99108,             0.91667,             0.94186,             0.59926,            0.022458,           0.0066847,            0.091368,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.023531,           0.0094001,           0.0016564,              0.9911,             0.91667,             0.94186,             0.59752,            0.022473,           0.0066568,            0.091956,            6.94e-05,            6.94e-05,            6.94e-05
                  96,            0.023628,           0.0093378,           0.0015392,             0.97441,                 0.9,             0.92526,             0.59925,            0.022447,            0.006666,            0.092832,            5.95e-05,            5.95e-05,            5.95e-05
                  97,            0.023438,           0.0092337,           0.0017074,             0.97421,                 0.9,             0.92139,             0.59642,            0.022408,           0.0066769,            0.093243,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.023519,           0.0092796,           0.0016338,              0.9744,                 0.9,             0.92139,             0.59732,            0.022417,           0.0066829,             0.09354,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.023475,           0.0094012,           0.0018719,             0.97425,                 0.9,             0.92139,              0.5935,            0.022439,           0.0066795,             0.09383,            2.98e-05,            2.98e-05,            2.98e-05
